epoch,train_mse,validation_mse,validation_mae,validation_p95,selection_score
1.0,0.016616164600815286,0.009877892211079597,0.05370728671550751,0.16816022545099246,0.009877892211079597
2.0,0.0051595994472419,0.005661351606249809,0.0417957678437233,0.134084852039814,0.005661351606249809
3.0,0.0026696645469531754,0.004162028897553682,0.035532500594854355,0.11178393885493268,0.004162028897553682
4.0,0.0016392176145349038,0.0035213774535804987,0.03126931190490723,0.10141616500914091,0.0035213774535804987
5.0,0.0011067712753587825,0.0029786003287881613,0.026802819222211838,0.08985161483287808,0.0029786003287881613
6.0,0.0008120837036668407,0.00266194436699152,0.02407735213637352,0.08217844255268567,0.00266194436699152
7.0,0.000647955353170718,0.002482194919139147,0.022057823836803436,0.07760817632079103,0.002482194919139147
8.0,0.0005345633187310093,0.002389404457062483,0.021095432341098785,0.07360395193099975,0.002389404457062483
9.0,0.0004966276246705092,0.002205926226451993,0.019815823063254356,0.06990753114223476,0.002205926226451993
10.0,0.00043380432709289545,0.00207299692556262,0.01896553486585617,0.06804445721209036,0.00207299692556262
11.0,0.00037925727784485474,0.0019775903783738613,0.01830773800611496,0.0658863719552755,0.0019775903783738613
12.0,0.00034990540337854657,0.001985363895073533,0.01791030541062355,0.06424605473875997,0.001985363895073533
13.0,0.00029964634384007445,0.0019284479785710573,0.017371611669659615,0.061270238459110254,0.0019284479785710573
14.0,0.00032324889682720163,0.0018729318398982286,0.01712174527347088,0.060448429174721235,0.0018729318398982286
15.0,0.00028756375633582303,0.0018562680343165994,0.01704559102654457,0.059280011057853674,0.0018562680343165994
16.0,0.00027528970035332765,0.0018453041557222605,0.016329417005181313,0.05913435593247407,0.0018453041557222605
17.0,0.0002847331105096435,0.001835242030210793,0.016366247087717056,0.0588560089468956,0.001835242030210793
18.0,0.0002413654431372627,0.0017707402585074306,0.015686295926570892,0.05651406608521937,0.0017707402585074306
19.0,0.00024853444814322177,0.0017273554112762213,0.015457531437277794,0.05583837106823918,0.0017273554112762213
20.0,0.0002364374883076049,0.0016514193266630173,0.015555355697870255,0.05653251875191924,0.0016514193266630173
21.0,0.00022424326876220718,0.0017644524341449142,0.01506525557488203,0.05380493812263008,0.0017644524341449142
22.0,0.00021807672072265467,0.0017142771976068616,0.015052013099193573,0.054088480770587886,0.0017142771976068616
23.0,0.00021185728275502862,0.0017322789644822478,0.01503600925207138,0.05324294269084928,0.0017322789644822478
24.0,0.00018812931276360442,0.0016391624230891466,0.014875875785946846,0.05384692996740339,0.0016391624230891466
25.0,0.00018689518467660739,0.001693915924988687,0.014809857122600079,0.05296686384826894,0.001693915924988687
26.0,0.00017353766452288255,0.0016582366079092026,0.014528145082294941,0.052316317707300185,0.0016582366079092026
27.0,0.0001837486296691085,0.001638632733374834,0.014396380633115768,0.051324270293116564,0.001638632733374834
28.0,0.00019079250044094144,0.0016771017108112574,0.014817364513874054,0.05349980071187015,0.0016771017108112574
29.0,0.0001949699379276188,0.0015580463223159313,0.014226539060473442,0.05130424648523326,0.0015580463223159313
30.0,0.00018975738153544214,0.0016132744494825602,0.014094495214521885,0.050091528519988056,0.0016132744494825602
31.0,0.000188761059358843,0.0015980222960934043,0.014570173807442188,0.05234345607459543,0.0015980222960934043
32.0,0.0001886683292634023,0.0015190925914794207,0.013857061043381691,0.04950202703475949,0.0015190925914794207
33.0,0.0001595803476613417,0.0015334661584347486,0.013825950212776661,0.04932107999920837,0.0015334661584347486
34.0,0.00016866447334574662,0.0015596121083945036,0.013668796047568321,0.048739685304462876,0.0015596121083945036
35.0,0.00014846011832890906,0.001563369994983077,0.014011417515575886,0.049453825876116735,0.001563369994983077
36.0,0.00015700056445149875,0.001539501128718257,0.013810650445520878,0.048703625798225396,0.001539501128718257
37.0,0.00014997943022039678,0.0015222937799990177,0.013576067052781582,0.04902782142162312,0.0015222937799990177
38.0,0.0001596921030630421,0.0014782623620703816,0.014071555808186531,0.04901155382394789,0.0014782623620703816
39.0,0.00018111348932011012,0.001453580567613244,0.013361000455915928,0.04764358550310126,0.001453580567613244
40.0,0.0001788238464955198,0.0014959030086174607,0.01346786879003048,0.047571207769215015,0.0014959030086174607
41.0,0.00015192928913165815,0.0015212396392598748,0.013515622355043888,0.047437620908021914,0.0015212396392598748
42.0,0.0001528845385275252,0.001519962097518146,0.0138341523706913,0.04848625399172302,0.001519962097518146
43.0,0.0001620489085987422,0.0014493148773908615,0.013595267198979855,0.0471238166093826,0.0014493148773908615
44.0,0.00015368357162515167,0.00142618827521801,0.013026494532823563,0.046388889104127855,0.00142618827521801
45.0,0.00013754858694235074,0.0014002214884385467,0.012984546832740307,0.046200335398316326,0.0014002214884385467
