method,method_display,comparison,metric,metric_display,kind,direction,delta,ci_low,ci_high
mat,MAT,5000000_minus_1000000,success,Success,rate,higher,0.0,-0.006510416666666667,0.006510416666666667
mat,MAT,5000000_minus_1000000,collision,Collision,rate,lower,0.10807291666666667,-0.140625,0.4453125
mat,MAT,5000000_minus_1000000,deadlock,Deadlock,rate,lower,-0.10807291666666667,-0.44140625,0.13541666666666666
mat,MAT,5000000_minus_1000000,progress,Goal progress,value,higher,-0.6434898353181779,-2.0633802550961264,0.23149267865034437
mat,MAT,5000000_minus_1000000,objective_s,Objective/s,value,higher,-0.26998616503486567,-0.6180400681627193,0.0
mat,MAT,5000000_minus_1000000,risk_065,Risk <0.65 m,rate,lower,-0.2019139324774132,-0.5632578459343794,0.01167974322396576
mat,MAT,5000000_minus_1000000,risk_100,Risk <1.0 m,rate,lower,-0.2576824774132192,-0.5888017118402282,0.0
mat,MAT,5000000_minus_3000000,success,Success,rate,higher,0.0,0.0,0.0
mat,MAT,5000000_minus_3000000,collision,Collision,rate,lower,0.010416666666666666,-0.015625,0.0546875
mat,MAT,5000000_minus_3000000,deadlock,Deadlock,rate,lower,-0.010416666666666666,-0.0546875,0.015625
mat,MAT,5000000_minus_3000000,progress,Goal progress,value,higher,0.041296510491520166,-0.03454670261902114,0.19536509960889814
mat,MAT,5000000_minus_3000000,objective_s,Objective/s,value,higher,-0.03473799794303325,-0.1584262673753809,0.023241509075955947
mat,MAT,5000000_minus_3000000,risk_065,Risk <0.65 m,rate,lower,0.001545411317165954,-0.012155254398478364,0.018812410841654775
mat,MAT,5000000_minus_3000000,risk_100,Risk <1.0 m,rate,lower,-0.0026301711840228236,-0.030046362339514982,0.019882682477413136
hatrpo,HATRPO,5000000_minus_1000000,success,Success,rate,higher,0.0,0.0,0.0
hatrpo,HATRPO,5000000_minus_1000000,collision,Collision,rate,lower,0.06510416666666667,-0.033854166666666664,0.15234375
hatrpo,HATRPO,5000000_minus_1000000,deadlock,Deadlock,rate,lower,-0.06510416666666667,-0.15234375,0.033854166666666664
hatrpo,HATRPO,5000000_minus_1000000,progress,Goal progress,value,higher,-0.23730014357715845,-0.46219889532076197,-0.02131409585708777
hatrpo,HATRPO,5000000_minus_1000000,objective_s,Objective/s,value,higher,-0.3970287730336688,-0.7513195086692502,-0.028103667567555553
hatrpo,HATRPO,5000000_minus_1000000,risk_065,Risk <0.65 m,rate,lower,0.00022289586305278045,-0.052499405611031856,0.0547435954588682
hatrpo,HATRPO,5000000_minus_1000000,risk_100,Risk <1.0 m,rate,lower,0.007385282929148845,-0.04906718081312409,0.06734427009034712
hatrpo,HATRPO,5000000_minus_3000000,success,Success,rate,higher,0.0,0.0,0.0
hatrpo,HATRPO,5000000_minus_3000000,collision,Collision,rate,lower,-0.032552083333333336,-0.11197916666666667,0.037760416666666664
hatrpo,HATRPO,5000000_minus_3000000,deadlock,Deadlock,rate,lower,0.032552083333333336,-0.037760416666666664,0.11328125
hatrpo,HATRPO,5000000_minus_3000000,progress,Goal progress,value,higher,-0.06786054465919733,-0.32523962394334377,0.18779932260125254
hatrpo,HATRPO,5000000_minus_3000000,objective_s,Objective/s,value,higher,-0.11242558408624205,-0.3156293346996708,0.074813005983802
hatrpo,HATRPO,5000000_minus_3000000,risk_065,Risk <0.65 m,rate,lower,-0.004368758915834524,-0.05122184082263436,0.04163694721825962
hatrpo,HATRPO,5000000_minus_3000000,risk_100,Risk <1.0 m,rate,lower,-0.006166785544460288,-0.059067403708987165,0.04456431288635284
