action_component_clip_rate,agent_collision_rate,avg_true_objective,avg_true_objective_per_second,canonical_collision_rate,completed_obstacle_agent_exposure_count,completed_obstacle_agent_risk_count_clearance_lt_0_20,completed_obstacle_agent_risk_count_clearance_lt_0_35,completed_obstacle_agent_risk_rate_clearance_lt_0_20,completed_obstacle_agent_risk_rate_clearance_lt_0_35,completed_pair_exposure_count,completed_pair_risk_count_dist_lt_0_65,completed_pair_risk_count_dist_lt_1_0,completed_pair_risk_rate_dist_lt_0_65,completed_pair_risk_rate_dist_lt_1_0,coordinator_wall_ms_per_frame,deadlock_rate,environment_num_agents,environment_obstacle_density,environment_obstacle_size,episode_wall_seconds,final_goal_distance_mean,frames,goal_progress_mean,initial_physical_hash,initial_physical_state_sha256,moving_frame_ratio,obstacle_agent_frame_exposure_count,obstacle_agent_frame_risk_count_clearance_lt_0_20,obstacle_agent_frame_risk_count_clearance_lt_0_35,obstacle_agent_frame_risk_rate_clearance_lt_0_20,obstacle_agent_frame_risk_rate_clearance_lt_0_35,obstacle_collision_rate,pair_frame_exposure_count,pair_frame_risk_count_dist_lt_0_65,pair_frame_risk_count_dist_lt_1_0,pair_frame_risk_rate_dist_lt_0_65,pair_frame_risk_rate_dist_lt_1_0,path_length_mean,policy_wall_ms_per_frame,projected_action_component_clip_rate,radius_entry_rate,risk_rate_dist_lt_0_65,risk_rate_dist_lt_1_0,safety_projection,safety_projection_active_pairs_mean,safety_projection_candidate_pairs_mean,safety_projection_corrected_agent_rate,safety_projection_correction_l2_max,safety_projection_correction_l2_mean,safety_projection_intervention_rate,safety_projection_predicted_min_after_mean,safety_projection_predicted_min_before_mean,seed,success_rate,sync_stage_egress_agent_count,sync_stage_egress_radius_m,sync_stage_enabled,sync_stage_max_frames,sync_stage_radius_m,sync_stage_ready_radius_m,sync_stage_release_frame,sync_stage_released,teacher_takeover,teacher_takeover_active_disagreement_mean,teacher_takeover_agent_frame_rate,teacher_takeover_frame_rate,teacher_takeover_release_count,teacher_takeover_start_count,transit_obstacle_agent_exposure_count,transit_obstacle_agent_risk_count_clearance_lt_0_20,transit_obstacle_agent_risk_count_clearance_lt_0_35,transit_obstacle_agent_risk_rate_clearance_lt_0_20,transit_obstacle_agent_risk_rate_clearance_lt_0_35,transit_pair_exposure_count,transit_pair_risk_count_dist_lt_0_65,transit_pair_risk_count_dist_lt_1_0,transit_pair_risk_rate_dist_lt_0_65,transit_pair_risk_rate_dist_lt_1_0,variant,waypoint_active_agent_frame_rate,waypoint_clearance_buffer_m,waypoint_enabled,waypoint_grid_resolution_m,waypoint_inflated_obstacle_radius_m,waypoint_initial_detour_ratio,waypoint_initial_direct_distance_mean_m,waypoint_initial_intermediate_count_mean,waypoint_initial_path_length_mean_m,waypoint_reached_radius_m,waypoint_replan_count,waypoint_replan_interval_frames,waypoint_retarget_count,waypoint_room_margin_m,waypoint_search_failure_count,waypoint_switch_count
0.0,0.0,-1.2673050790490121,-0.18104358272128745,0.0,1961,0,0,0.0,0.0,6769,468,1575,0.06913872063820357,0.2326783867631851,1.3584409257581063,0.0,8,0.1,0.4,5.9126229750108905,1.172803819583321,701,1.4453872239276104,db05d93528fee678b80e9b0ffd90d83b7a11c5e6886093a63670e2a785344a14,745cf2284b1226b0f66cd170828bedde56714b05f669d579139cf81dac27bca0,0.9962553495007133,5608,0,0,0.0,0.0,0.0,19628,782,2974,0.039841043407377215,0.15151823925005095,5.292372472691664,0.9478806675702052,0.0,1.0,0.1340941512125535,0.2838801711840228,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253000,1.0,8.0,1.2,1.0,350.0,1.2,0.3,318.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3647,0,0,0.0,0.0,12859,314,1399,0.024418695077377713,0.10879539622054592,bounded_bc_train171002,0.0,0.35,1.0,0.25,0.5959619407771256,1.000000009565703,2.383179708870253,0.0,2.383179731667042,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-1.4617934166324318,-0.20882763094749027,0.0,1637,0,0,0.0,0.0,5390,346,1261,0.06419294990723562,0.23395176252319108,1.369336448173396,0.0,8,0.1,0.4,4.948143015993992,1.1852218936183463,701,1.1721291201547195,feffb6d7995267c0fdc4267ea79c7ebda67ac0ab14a6afd698f7ca9228b35518,4773ae64ce754b6f5185569de8d25598dc974168e070d14bb1cea52d39156aa4,0.9980385164051355,5608,0,0,0.0,0.0,0.0,19628,1040,3383,0.05298553087426126,0.172355818218871,6.986015561487629,0.7555948506599656,0.0,1.0,0.40228245363766046,0.6776034236804565,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253001,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3971,0,0,0.0,0.0,14238,694,2122,0.04874280095519033,0.1490377862059278,bounded_bc_train171002,0.0,0.35,1.0,0.25,0.5959619407771256,0.9999999886461007,2.076747373973906,0.0,2.076747350394726,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-1.570777782427058,-0.22439682606100828,0.0,2576,0,0,0.0,0.0,8802,371,1367,0.04214951147466485,0.15530561236082707,1.3369415414562122,0.0,8,0.1,0.4,4.873164835997159,1.2052302074128043,701,2.242509193616458,fb60268f363c80bf522d33f531804016cfc616e202dc50dbc1a0679c8465bd16,47a68fc7578cb94f9ccd3966448037137914a4f0798bd1dafb4ddd12c9f65215,0.953281027104137,5608,0,0,0.0,0.0,0.0,19628,833,3153,0.04243937232524964,0.16063786427552476,5.878948159818155,0.8175840509820267,0.0,1.0,0.20399429386590584,0.38944365192582026,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253002,1.0,8.0,1.2,1.0,350.0,1.2,0.3,235.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3032,0,0,0.0,0.0,10826,462,1786,0.04267504156659893,0.16497321263624606,bounded_bc_train171002,0.019793152639087017,0.35,1.0,0.25,0.5959619407771256,1.0082737707389189,3.334285100598129,0.125,3.361872211098671,0.3,0.0,25.0,24.0,0.15,0.0,1.0
0.0,0.25,-2.5405725853000654,-0.3629389407571522,0.25,1743,0,0,0.0,0.0,6003,481,1551,0.08012660336498417,0.25837081459270367,1.3598585369287275,0.0,8,0.1,0.4,6.756367654015776,1.1801527987610838,701,2.032807946273701,c159d536c3eae29151885ebea49d066e7f30ab733360976afdea85577f8a7c81,d2a6121d5a763dba3482ee1e49be41935911f3fe9a9667e2c5dd5b8513d37f39,0.994472182596291,5608,0,0,0.0,0.0,0.0,19628,1018,3340,0.05186468310576727,0.17016507030772365,8.61807287172201,0.8206637762221222,0.0,1.0,0.3908701854493581,0.579172610556348,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253003,0.75,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3865,0,0,0.0,0.0,13625,537,1789,0.039412844036697245,0.131302752293578,bounded_bc_train171002,0.0224679029957204,0.35,1.0,0.25,0.5959619407771256,1.001525163570953,2.9794423748546333,0.125,2.983986511826515,0.3,0.0,25.0,24.0,0.15,0.0,1.0
0.0,0.0,-2.638941046437651,-0.3769915780625216,0.0,2130,0,0,0.0,0.0,5526,320,1421,0.057908070937386896,0.2571480275063337,1.3446935839298715,0.0,8,0.1,0.4,4.968240496004,1.0991577214758554,701,2.1935383725893374,fce2818088a49dc02ff02a0fedbf853fc58375ab96e0339c20beec708497f970,eb0f3393cedf52dac83548998a7b2e16fedb79d165fccc08691a669f15ce9f75,0.9876961483594865,5608,0,0,0.0,0.0,0.0,19628,995,3703,0.05069288771143265,0.18865905848787445,7.896310139632007,0.8187683348340672,0.0,1.0,0.35520684736091296,0.6362339514978602,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253004,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3478,0,0,0.0,0.0,14102,675,2282,0.04786555098567579,0.16182101829527726,bounded_bc_train171002,0.03477175463623395,0.35,1.0,0.25,0.5959619407771256,1.0016114318048066,3.0838064139648753,0.125,3.088775757700205,0.3,7.0,25.0,23.0,0.15,0.0,6.0
0.0,0.0,-1.983133674188423,-0.2833048105983461,0.0,1747,0,0,0.0,0.0,6026,446,1554,0.07401261201460338,0.25788250912711586,1.3639416518892173,0.0,8,0.1,0.4,4.9854649280023295,1.1966479047820293,701,2.473072518830678,37f68ef2a5ef4e5232b4586980db8d7c551fbff32e5abd253687cd9ce393b5e1,99f119a76597713551aba5e16759fd0a6f390e805beb6075f36ee0bf9d2aa7d7,0.9689728958630528,5608,0,0,0.0,0.0,0.0,19628,785,2999,0.039993886284899124,0.15279192989606685,5.418533001484855,0.8454381027999607,0.0,1.0,0.12125534950071326,0.24393723252496433,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253005,1.0,8.0,1.2,1.0,350.0,1.2,0.3,340.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3861,0,0,0.0,0.0,13602,339,1445,0.024922805469783857,0.10623437729745626,bounded_bc_train171002,0.0800641940085592,0.35,1.0,0.25,0.5959619407771256,1.0142426536570368,3.417574772855507,0.375,3.466250106692314,0.3,0.0,25.0,24.0,0.15,0.0,3.0
0.0,0.0,-1.306065320944282,-0.18658076013489744,0.0,1714,0,0,0.0,0.0,5853,478,1529,0.0816675209294379,0.26123355544165383,1.3575575264807147,0.0,8,0.1,0.4,4.969776247016853,1.187022831371257,701,1.4846072041189013,c473791c2d962addfd218f40e9efbaf942bb4efbbdd1d6f6f6fce7d844ed6e42,5149997ca97c3a96ee7d0c2ad8d9ae365599b8343cb955d31d67c32f5c489880,0.9925106990014265,5608,59,102,0.010520684736091298,0.01818830242510699,0.0,19628,833,2883,0.04243937232524964,0.14688200529855308,4.782392305667114,0.8392491492561693,0.0,1.0,0.14978601997146934,0.23680456490727533,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253006,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3894,59,102,0.015151515151515152,0.026194144838212634,13775,355,1354,0.025771324863883848,0.0982940108892922,bounded_bc_train171002,0.05206847360912981,0.35,1.0,0.25,0.5959619407771256,1.0141114430607763,2.390893928476544,0.125,2.424632892012596,0.3,2.0,25.0,24.0,0.15,0.0,1.0
0.0,0.0,-2.5494145348378403,-0.36420207640540575,0.0,1723,0,0,0.0,0.0,5952,446,1546,0.07493279569892473,0.259744623655914,1.3620861534948612,0.0,8,0.1,0.4,4.979836512007751,1.1909713264760178,701,2.296917356958111,74d778d2ea44716516feba3299465ba4f209f69397a313174299edbd89793713,8092f599b03d009046dc4c0d10f05a9ecb37c1f316d871623d781646ee44e5f5,0.9932239657631954,5608,65,146,0.011590584878744651,0.026034236804564907,0.0,19628,777,3028,0.039586305278174035,0.15426941104544528,7.51534995555876,0.8375453254119619,0.0,1.0,0.14978601997146934,0.38659058487874465,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253007,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3885,65,146,0.01673101673101673,0.03758043758043758,13676,331,1482,0.024202983328458615,0.10836501901140684,bounded_bc_train171002,0.09004992867332383,0.35,1.0,0.25,0.5959619407771256,1.0122539181685517,3.2614504920267793,0.25,3.301416039466858,0.3,5.0,25.0,24.0,0.15,0.0,4.0
0.0,0.0,-2.055996026434361,-0.29371371806205154,0.0,1717,0,0,0.0,0.0,5912,477,1580,0.08068335588633288,0.2672530446549391,1.3406763767731242,0.0,8,0.1,0.4,4.958258630998898,1.1874473356312731,701,2.121173389350301,f791ff2e7db63dcbcfaf134a76c54c8dc1f7a7e048fee9401d208b1cd21293d7,f0353d578328c1b6482868a40ed1365b051d693931486e6b4edb5ac475052fe0,0.9978601997146933,5608,0,0,0.0,0.0,0.0,19628,841,3141,0.04284695333197473,0.16002649276543712,7.137571321473682,0.8725002838149879,0.0,1.0,0.1326676176890157,0.442225392296719,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253008,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3891,0,0,0.0,0.0,13716,364,1561,0.026538349372995044,0.11380869058034412,bounded_bc_train171002,0.0,0.35,1.0,0.25,0.5959619407771256,0.9999999895851022,3.0381408724703456,0.0,3.0381408408284187,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-2.6089816649284785,-0.37271166641835407,0.0,1411,0,0,0.0,0.0,3973,232,935,0.058394160583941604,0.23533853511200603,1.3717918487125542,0.125,8,0.1,0.4,5.038022284017643,1.1266701403767776,701,2.2517409496515635,56b5e0f865c502210751d7e764d8d09f9fdb3b0b89a24674f1356e9fdef2aea5,bf578e8652fb97b8efc371ea83430987180155e3c961404b8ce204f7e1f7323a,0.9957203994293866,5608,21,55,0.003744650499286733,0.009807417974322396,0.0,19628,658,2527,0.033523537803138374,0.12874465049928674,7.228911230733998,0.9027295593539659,0.0,0.875,0.19686162624821682,0.47788873038516405,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253009,0.875,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4197,21,55,0.005003573981415297,0.013104598522754349,15655,426,1592,0.027211753433407856,0.1016927499201533,bounded_bc_train171002,0.12892296718972895,0.35,1.0,0.25,0.5959619407771256,1.0190970933409238,3.071580869939615,0.375,3.130239136517048,0.3,3.0,25.0,23.0,0.15,0.0,4.0
