metric,n_paired_seeds,mean_delta,ci95_low,ci95_high,mean_delta_display,ci95_low_display,ci95_high_display,display_unit,seed_deltas
success_rate,4,0.0003125000000000003,-0.006406249999999995,0.004687500000000001,0.03125000000000003,-0.6406249999999996,0.46875000000000006,pp,0.004375000000000004 0.0049999999999999975 0.0018749999999999947 -0.009999999999999995
risk_rate_lt_0_65,4,-0.013948019801980198,-0.021076732673267328,-0.00826732673267327,-1.3948019801980198,-2.107673267326733,-0.8267326732673269,pp,-0.012128712871287126 -0.024059405940594063 -0.01287128712871287 -0.006732673267326735
risk_rate_lt_1_0,4,-0.02721534653465347,-0.05028465346534654,-0.007351485148514851,-2.721534653465347,-5.028465346534654,-0.7351485148514851,pp,-0.027029702970297026 -0.02099009900990101 -0.06004950495049505 -0.0007920792079207928
deadlock_rate,4,-0.0003124999999999656,-0.004687499999999956,0.00640625000000003,-0.03124999999999656,-0.46874999999999556,0.640625000000003,pp,-0.004374999999999907 -0.0050000000000000044 -0.00187499999999996 0.010000000000000009
objective,4,0.3153385194964613,0.2781195918631614,0.3525574471297612,0.3153385194964613,0.2781195918631614,0.3525574471297612,raw,0.2734512435229992 0.36308961955032215 0.28278794020332354 0.3420252747092003
