method,seeds,success,collision,deadlock,progress,objective_s,risk_065,risk_100,radius_entry,path_length,moving_ratio
Direct teacher,32,0.83984375,0.16015625,0.0,3.1028255120439794,-0.685353257936365,0.8472271754636234,0.9025945078459343,0.9921875,6.479773596474502,0.8812800909415122
Waypoint teacher,32,0.9140625,0.06640625,0.01953125,3.059173677662944,-0.3840449864358608,0.8373751783166905,0.8973341654778887,0.97265625,6.0372723276072655,0.891934513195435
Coordinated teacher,32,0.92578125,0.0625,0.01171875,2.4002021950357246,-0.5383021815755202,0.2265959343794579,0.49135164051355207,0.984375,6.776555270990275,0.9900532721112696
Initial bounded BC,32,0.9296875,0.0546875,0.015625,2.3926166051005247,-0.5329173611144377,0.23319365192582026,0.4741886590584879,0.98828125,6.898488403498663,0.9907665388730384
Final bounded DAgger,32,0.9296875,0.0546875,0.015625,2.3856227181645018,-0.5532654766081558,0.23216833095577746,0.4809201141226819,0.9609375,6.841732842694878,0.992031472895863
