epoch,train_mse,validation_mse,validation_mae,validation_p95,selection_score
1.0,0.016812489399771122,0.010303753428161144,0.05495411530137062,0.17676026299595832,0.010303753428161144
2.0,0.004886536160483956,0.005130838602781296,0.04022011533379555,0.12877371981739982,0.005130838602781296
3.0,0.0025381279013923963,0.0037470832467079163,0.03526696935296059,0.11079474352300159,0.0037470832467079163
4.0,0.0015729944041760807,0.0030751684680581093,0.0301195215433836,0.09674174487590785,0.0030751684680581093
5.0,0.0010967525304295123,0.0029083192348480225,0.0269125048071146,0.08659370280802245,0.0029083192348480225
6.0,0.0008204217777926136,0.0025105641689151525,0.024300655350089073,0.08109832853078826,0.0025105641689151525
7.0,0.0006937706493772566,0.0023549553006887436,0.022510958835482597,0.07775349915027613,0.0023549553006887436
8.0,0.0005424924794087102,0.002205466851592064,0.02080434188246727,0.07331447005271907,0.002205466851592064
9.0,0.0004849110390006734,0.0020641242153942585,0.020059334114193916,0.0698885940015315,0.0020641242153942585
10.0,0.00039128381732470274,0.0019721470307558775,0.019125577062368393,0.06924741975963107,0.0019721470307558775
11.0,0.00039817325688835064,0.001965426141396165,0.01838238164782524,0.06535137407481664,0.001965426141396165
12.0,0.0003653124361087314,0.0019391358364373446,0.018215525895357132,0.06398848891258233,0.0019391358364373446
13.0,0.0003636517351630821,0.001924458658322692,0.017714451998472214,0.0635380856692791,0.001924458658322692
14.0,0.0003145351061406969,0.0018258708296343684,0.017630163580179214,0.06307035088539123,0.0018258708296343684
15.0,0.00026867284362775865,0.0017291620606556535,0.016643177717924118,0.05988878868520259,0.0017291620606556535
16.0,0.0002622120006311558,0.0017791107529774308,0.016147345304489136,0.058275756984949106,0.0017791107529774308
17.0,0.0002530914075164632,0.0016943388618528843,0.015908095985651016,0.05699240118265147,0.0016943388618528843
18.0,0.00024076945655079643,0.0017441229429095984,0.016579357907176018,0.05848011225461958,0.0017441229429095984
19.0,0.0002691998352846977,0.0016496942844241858,0.015501173213124275,0.05594473145902156,0.0016496942844241858
20.0,0.00023193258940326896,0.0017033530166372657,0.01534159854054451,0.05496542975306509,0.0017033530166372657
21.0,0.00023181896209610966,0.0017608519410714507,0.015635477378964424,0.05499854981899258,0.0017608519410714507
