scenario,main_success_percent,best_success_baseline,best_baseline_success_percent,success_delta_vs_best_success_pp,main_risk_lt_1_0_percent,lowest_risk_baseline,lowest_baseline_risk_lt_1_0_percent,risk_delta_vs_lowest_risk_pp,main_objective
static_4,6.468749999999999,IPPO,9.3125,-2.843750000000001,35.12623762376238,MAT,26.806930693069308,8.31930693069307,-0.677382773813262
static_8,6.71875,IPPO,13.609375000000002,-6.890625000000002,88.23638613861387,MAT,78.6200495049505,9.616336633663366,-0.5785858587833378
obstacle_4,4.96875,MAT,5.250000000000001,-0.2812500000000009,8.576732673267326,MAT,6.952970297029704,1.6237623762376225,-2.7787101590941043
obstacle_8,6.015624999999999,MAPPO,5.984375,0.031249999999999112,24.40841584158416,MAPPO,27.129950495049503,-2.721534653465344,-2.157250446884833
