scenario,scenario_description,method,mode,avg_true_objective_mean,agent_success_rate_mean,risk_rate_dist_lt_0_65_mean,risk_rate_dist_lt_1_0_mean,agent_deadlock_rate_mean,final_goal_dist_mean_mean,collision_frame_rate_mean,n_runs,episodes_mean,success_percent,risk_lt_0_65_percent,risk_lt_1_0_percent,deadlock_percent,objective
static_4,"4 agents, no obstacles",MAPPO,official_mappo,-0.8777197353249684,0.0465625,0.12387376237623762,0.3435891089108911,0.9534374999999999,2.515963105261326,9.900990099009902e-05,4,200.0,4.65625,12.387376237623762,34.35891089108911,95.34375,-0.8777197353249684
static_4,"4 agents, no obstacles",MAPPO-Lagrangian,official_mappo_lagrangian,-0.8860123558651019,0.0353125,0.15872524752475248,0.40949257425742575,0.9646875,2.5410544295608997,0.00014851485148514854,4,200.0,3.5312499999999996,15.872524752475247,40.94925742574257,96.46875,-0.8860123558651019
static_4,"4 agents, no obstacles",IPPO,official_ippo,-0.619671423056884,0.093125,0.15094059405940594,0.3893688118811881,0.906875,1.9910363551229238,7.425742574257427e-05,4,200.0,9.3125,15.094059405940593,38.93688118811881,90.6875,-0.619671423056884
static_4,"4 agents, no obstacles",MAT,official_mat,-1.1181485016391917,0.03125,0.09899752475247525,0.2680693069306931,0.96875,3.764850063621998,9.900990099009902e-05,4,200.0,3.125,9.899752475247524,26.806930693069308,96.875,-1.1181485016391917
static_4,"4 agents, no obstacles",HATRPO,harl_hatrpo,-1.175408098708439,0.0315625,0.12971534653465347,0.3412623762376238,0.9684375000000001,2.4670163103938103,9.900990099009902e-05,4,200.0,3.15625,12.971534653465348,34.12623762376238,96.84375,-1.175408098708439
static_4,"4 agents, no obstacles",SA-RB-GCA,sa_rb_gca_expert_pool_learned_graph_gate_shielded_rb_gca_v4_success_pareto_full_ff1.0_fc0.25_ft0.5_fo0.2_fmax0.25,-0.677382773813262,0.0646875,0.12866336633663367,0.3512623762376238,0.9353125,2.3506973542273046,0.00018564356435643565,4,200.0,6.468749999999999,12.866336633663366,35.12623762376238,93.53125,-0.677382773813262
static_8,"8 agents, no obstacles",MAPPO,official_mappo,-0.7341241559898598,0.04078125,0.5235767326732673,0.8822029702970298,0.95921875,2.4279073084890843,0.0005445544554455446,4,200.0,4.078125,52.35767326732673,88.22029702970298,95.921875,-0.7341241559898598
static_8,"8 agents, no obstacles",MAPPO-Lagrangian,official_mappo_lagrangian,-0.7314428573796838,0.0428125,0.46383663366336636,0.8548886138613861,0.9571875,2.516866502761841,0.000297029702970297,4,200.0,4.28125,46.383663366336634,85.48886138613861,95.71875,-0.7314428573796838
static_8,"8 agents, no obstacles",IPPO,official_ippo,-0.5253137019126046,0.13609375,0.5738242574257426,0.9071039603960396,0.86390625,1.793285900577903,0.0009653465346534653,4,200.0,13.609375000000002,57.38242574257426,90.71039603960396,86.390625,-0.5253137019126046
static_8,"8 agents, no obstacles",MAT,official_mat,-0.9093856073272943,0.05078125,0.41439356435643565,0.786200495049505,0.94921875,3.1687591649591926,0.0003836633663366337,4,200.0,5.078125,41.43935643564357,78.6200495049505,94.921875,-0.9093856073272943
static_8,"8 agents, no obstacles",HATRPO,harl_hatrpo,-1.4757123372553105,0.02796875,0.4392079207920792,0.8165717821782178,0.97203125,2.510610826909542,0.0006311881188118812,4,200.0,2.796875,43.92079207920792,81.65717821782178,97.203125,-1.4757123372553105
static_8,"8 agents, no obstacles",SA-RB-GCA,sa_rb_gca_expert_pool_learned_graph_gate_shielded_rb_gca_v4_success_pareto_full_ff1.0_fc0.25_ft0.5_fo0.2_fmax0.25,-0.5785858587833378,0.0671875,0.5154702970297029,0.8823638613861386,0.9328125,2.1101772166788577,0.000556930693069307,4,200.0,6.71875,51.54702970297029,88.23638613861387,93.28125,-0.5785858587833378
obstacle_4,"4 agents, static obstacles",MAPPO,official_mappo,-2.7719420536435475,0.0478125,0.009764851485148515,0.0733539603960396,0.9521875,4.240337924808264,0.0,4,200.0,4.78125,0.9764851485148515,7.33539603960396,95.21875,-2.7719420536435475
