scenario,method,objective,success_percent,risk_lt_0_65_percent,risk_lt_1_0_percent,deadlock_percent,final_goal_dist_mean_mean,collision_frame_rate_mean,n_runs,episodes_mean
static_4,MAPPO,-0.8777197353249684,4.65625,12.387376237623762,34.35891089108911,95.34375,2.515963105261326,9.900990099009902e-05,4,200.0
static_4,MAPPO-Lagrangian,-0.8860123558651019,3.5312499999999996,15.872524752475247,40.94925742574257,96.46875,2.5410544295608997,0.00014851485148514854,4,200.0
static_4,IPPO,-0.619671423056884,9.3125,15.094059405940593,38.93688118811881,90.6875,1.9910363551229238,7.425742574257427e-05,4,200.0
static_4,MAT,-1.1181485016391917,3.125,9.899752475247524,26.806930693069308,96.875,3.764850063621998,9.900990099009902e-05,4,200.0
static_4,HATRPO,-1.175408098708439,3.15625,12.971534653465348,34.12623762376238,96.84375,2.4670163103938103,9.900990099009902e-05,4,200.0
static_4,SA-RB-GCA,-0.677382773813262,6.468749999999999,12.866336633663366,35.12623762376238,93.53125,2.3506973542273046,0.00018564356435643565,4,200.0
static_8,MAPPO,-0.7341241559898598,4.078125,52.35767326732673,88.22029702970298,95.921875,2.4279073084890843,0.0005445544554455446,4,200.0
static_8,MAPPO-Lagrangian,-0.7314428573796838,4.28125,46.383663366336634,85.48886138613861,95.71875,2.516866502761841,0.000297029702970297,4,200.0
static_8,IPPO,-0.5253137019126046,13.609375000000002,57.38242574257426,90.71039603960396,86.390625,1.793285900577903,0.0009653465346534653,4,200.0
static_8,MAT,-0.9093856073272943,5.078125,41.43935643564357,78.6200495049505,94.921875,3.1687591649591926,0.0003836633663366337,4,200.0
static_8,HATRPO,-1.4757123372553105,2.796875,43.92079207920792,81.65717821782178,97.203125,2.510610826909542,0.0006311881188118812,4,200.0
static_8,SA-RB-GCA,-0.5785858587833378,6.71875,51.54702970297029,88.23638613861387,93.28125,2.1101772166788577,0.000556930693069307,4,200.0
obstacle_4,MAPPO,-2.7719420536435475,4.78125,0.9764851485148515,7.33539603960396,95.21875,4.240337924808264,0.0,4,200.0
obstacle_4,MAPPO-Lagrangian,-2.5089773848679324,5.125,0.8341584158415842,8.034653465346535,94.875,4.246887453347444,0.0,4,200.0
obstacle_4,IPPO,-2.5136541243937707,3.8125,0.4814356435643564,8.31188118811881,96.1875,4.161955554932356,4.950495049504951e-05,4,200.0
obstacle_4,MAT,-3.1757749730074716,5.250000000000001,1.035891089108911,6.952970297029704,94.75,4.393808063566684,0.0,4,200.0
obstacle_4,HATRPO,-2.4483350224645903,3.75,0.8762376237623763,8.07920792079208,96.25,4.130013546347618,3.7128712871287135e-05,4,200.0
obstacle_4,SA-RB-GCA,-2.7787101590941043,4.96875,1.3440594059405941,8.576732673267326,95.03125,4.138316832184792,1.2376237623762377e-05,4,200.0
obstacle_8,MAPPO,-2.472588966381294,5.984375,3.3056930693069306,27.129950495049503,94.015625,4.220157421827317,3.7128712871287135e-05,4,200.0
obstacle_8,MAPPO-Lagrangian,-2.240687941433527,4.90625,3.709158415841584,27.74752475247525,95.09375,4.166975269019604,1.2376237623762377e-05,4,200.0
obstacle_8,IPPO,-1.957994558714599,5.34375,1.5866336633663367,28.527227722772274,94.65625,4.038032806515694,3.7128712871287135e-05,4,200.0
obstacle_8,MAT,-2.686630996187106,4.453125,2.5841584158415842,28.648514851485153,95.54687500000001,4.066995238661766,2.4752475247524754e-05,4,200.0
obstacle_8,HATRPO,-2.7095817434137444,4.828125,5.155940594059406,29.823019801980198,95.171875,4.269226927161217,3.7128712871287135e-05,4,200.0
obstacle_8,SA-RB-GCA,-2.157250446884833,6.015624999999999,1.9108910891089108,24.40841584158416,93.98437500000001,4.108352687358856,0.0,4,200.0
