action_component_clip_rate,agent_collision_rate,avg_true_objective,avg_true_objective_per_second,canonical_collision_rate,completed_obstacle_agent_exposure_count,completed_obstacle_agent_risk_count_clearance_lt_0_20,completed_obstacle_agent_risk_count_clearance_lt_0_35,completed_obstacle_agent_risk_rate_clearance_lt_0_20,completed_obstacle_agent_risk_rate_clearance_lt_0_35,completed_pair_exposure_count,completed_pair_risk_count_dist_lt_0_65,completed_pair_risk_count_dist_lt_1_0,completed_pair_risk_rate_dist_lt_0_65,completed_pair_risk_rate_dist_lt_1_0,coordinator_wall_ms_per_frame,deadlock_rate,environment_num_agents,environment_obstacle_density,environment_obstacle_size,episode_wall_seconds,final_goal_distance_mean,frames,goal_progress_mean,initial_physical_hash,initial_physical_state_sha256,moving_frame_ratio,obstacle_agent_frame_exposure_count,obstacle_agent_frame_risk_count_clearance_lt_0_20,obstacle_agent_frame_risk_count_clearance_lt_0_35,obstacle_agent_frame_risk_rate_clearance_lt_0_20,obstacle_agent_frame_risk_rate_clearance_lt_0_35,obstacle_collision_rate,pair_frame_exposure_count,pair_frame_risk_count_dist_lt_0_65,pair_frame_risk_count_dist_lt_1_0,pair_frame_risk_rate_dist_lt_0_65,pair_frame_risk_rate_dist_lt_1_0,path_length_mean,policy_wall_ms_per_frame,projected_action_component_clip_rate,radius_entry_rate,risk_rate_dist_lt_0_65,risk_rate_dist_lt_1_0,safety_projection,safety_projection_active_pairs_mean,safety_projection_candidate_pairs_mean,safety_projection_corrected_agent_rate,safety_projection_correction_l2_max,safety_projection_correction_l2_mean,safety_projection_intervention_rate,safety_projection_predicted_min_after_mean,safety_projection_predicted_min_before_mean,seed,success_rate,sync_stage_egress_agent_count,sync_stage_egress_radius_m,sync_stage_enabled,sync_stage_max_frames,sync_stage_radius_m,sync_stage_ready_radius_m,sync_stage_release_frame,sync_stage_released,teacher_takeover,teacher_takeover_active_disagreement_mean,teacher_takeover_agent_frame_rate,teacher_takeover_frame_rate,teacher_takeover_release_count,teacher_takeover_start_count,transit_obstacle_agent_exposure_count,transit_obstacle_agent_risk_count_clearance_lt_0_20,transit_obstacle_agent_risk_count_clearance_lt_0_35,transit_obstacle_agent_risk_rate_clearance_lt_0_20,transit_obstacle_agent_risk_rate_clearance_lt_0_35,transit_pair_exposure_count,transit_pair_risk_count_dist_lt_0_65,transit_pair_risk_count_dist_lt_1_0,transit_pair_risk_rate_dist_lt_0_65,transit_pair_risk_rate_dist_lt_1_0,variant,waypoint_active_agent_frame_rate,waypoint_clearance_buffer_m,waypoint_enabled,waypoint_grid_resolution_m,waypoint_inflated_obstacle_radius_m,waypoint_initial_detour_ratio,waypoint_initial_direct_distance_mean_m,waypoint_initial_intermediate_count_mean,waypoint_initial_path_length_mean_m,waypoint_reached_radius_m,waypoint_replan_count,waypoint_replan_interval_frames,waypoint_retarget_count,waypoint_room_margin_m,waypoint_search_failure_count,waypoint_switch_count
0.0,0.0,-2.1871308471994375,-0.31244726388563393,0.0,1954,0,0,0.0,0.0,4545,324,1153,0.07128712871287128,0.2536853685368537,2.5068216763430815,0.0,8,0.2,0.6,6.9200834579824,1.0963698245569953,701,1.1225177361331153,bcfc38663e783c07b45bcf771a46ec17a89ff704ecf79bae51a17ff77d32dfa6,79e766e7a7f4cc19daf5dd91829723958551fe092264d20445803efc7c380170,0.9919757489300999,5608,46,171,0.008202567760342368,0.03049215406562054,0.0,19628,1062,3332,0.05410637864275525,0.16975748930099857,6.258347469483383,0.9916048190478746,0.0,1.0,0.38231098430813126,0.8031383737517832,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250000,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3654,46,171,0.012588943623426382,0.046798029556650245,15083,738,2179,0.048929258105151495,0.14446728104488496,bounded_bc_train171003,0.16886590584878744,0.35,1.0,0.25,0.6959619407771256,1.1207789222614732,2.0072843021905893,0.5,2.249721936881542,0.3,6.0,25.0,23.0,0.15,0.0,8.0
0.0,0.0,-4.0401974045523446,-0.5771710577931921,0.125,1531,0,0,0.0,0.0,4560,386,1192,0.08464912280701754,0.2614035087719298,2.4214578624223537,0.0,8,0.2,0.6,6.624619077978423,1.3630684697583872,701,1.1406511329583264,dd541ea1f0eebf9255a578fc20716057eabfdd38e39e39c8625fec3f175d21c1,8f7eff6068e6c078e6c340fa65947d281263d2fb022eeb25576ae21e8179c59d,0.9969686162624821,5608,96,173,0.017118402282453638,0.030848787446504992,0.125,19628,576,2120,0.029345832484206236,0.10800896678214796,6.7032396542844275,0.8754860722697665,0.0,0.875,0.11840228245363767,0.3466476462196862,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250001,0.875,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4077,96,173,0.0235467255334805,0.04243316163845965,15068,190,928,0.01260950358375365,0.06158747013538625,bounded_bc_train171003,0.10877318116975748,0.35,1.0,0.25,0.6959619407771256,1.0161554094275533,2.261183720687047,0.125,2.2977140694856644,0.3,6.0,25.0,23.0,0.15,0.0,4.0
0.0,0.0,-2.5339637367827024,-0.36199481954038604,0.0,1705,0,0,0.0,0.0,5846,441,1520,0.07543619568936025,0.2600068422853233,2.395196668767156,0.0,8,0.2,0.6,5.768390905985143,1.1963179479349297,701,3.0359498112897967,85184411ee9350871c8ec8bd5b9a50d4c4fa28b8e8d3139c78a9670dac125fe7,655c5f872cdc655f56ececbd173f99b4364959510a8480f89160fac8a05d8f11,0.9876961483594865,5608,70,181,0.012482168330955777,0.0322753209700428,0.0,19628,1002,3531,0.0510495210923171,0.1798960668432851,6.671593911179515,0.8080101305600282,0.0,1.0,0.3437945791726106,0.6576319543509273,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250002,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3903,70,181,0.017934921854983348,0.046374583653599796,13782,561,2011,0.040705267740531126,0.14591496154404296,bounded_bc_train171003,0.21683309557774608,0.35,1.0,0.25,0.6959619407771256,1.1478370637568003,3.9699322812114843,1.375,4.556835412979126,0.3,8.0,25.0,24.0,0.15,0.0,12.0
0.0,0.0,-3.56760124214469,-0.5096573203063842,0.0,1560,0,0,0.0,0.0,4864,322,1125,0.06620065789473684,0.23129111842105263,2.4060706163593135,0.0,8,0.2,0.6,5.781723480991786,1.1336213147745515,701,2.409363731839478,2923d71fb7d4ec0b2d7c7e2d7b111a7a452ed66ff813cad43690ff75905a2c98,ff33112d44d6c058c3ed59321e8e4403cc99a3b8a8a1746bee61d22fe1dc1fa3,0.9882310984308131,5608,54,131,0.00962910128388017,0.023359486447931527,0.0,19628,565,2270,0.02878540859995924,0.11565111065824332,6.02159828977854,0.8437247229766595,0.0,1.0,0.12696148359486448,0.2710413694721826,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250003,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4048,54,131,0.0133399209486166,0.032361660079051384,14764,243,1145,0.01645895421295042,0.07755350853427255,bounded_bc_train171003,0.08166904422253923,0.35,1.0,0.25,0.6959619407771256,1.0588514713124948,3.216202732903624,0.25,3.405480995774269,0.3,5.0,25.0,24.0,0.15,1.0,3.0
0.0,0.0,-4.337534098079814,-0.6196477282971163,0.25,1970,112,134,0.05685279187817259,0.06802030456852792,4394,367,1300,0.0835229858898498,0.2958579881656805,2.4008330670746707,0.0,8,0.2,0.6,5.7967057439964265,1.2136480168596235,701,2.2008391226923743,0543e24097c3df087f57f5f54396015d9827cdeee4730dfe839a5a03d6410b9f,4e754d9fec2f334ddc2c93ea625103015dba85c8427164e36b1d69398050beed,0.9878744650499287,5608,224,368,0.039942938659058486,0.06562054208273894,0.25,19628,601,2661,0.03061952313022213,0.13557163236193193,6.7767473107831275,0.8281565513531578,0.0,0.875,0.12981455064194009,0.5805991440798859,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250004,0.75,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3638,112,234,0.030786146234194612,0.06432105552501374,15234,234,1361,0.01536037810161481,0.08933963502691349,bounded_bc_train171003,0.2528530670470756,0.35,1.0,0.25,0.6959619407771256,1.1486479092889517,3.1696640819417587,1.25,3.6408280208706856,0.3,5.0,25.0,22.0,0.15,0.0,5.0
0.0,0.0,-1.6493599927580291,-0.23562285610828987,0.0,2428,0,0,0.0,0.0,8379,427,1505,0.050960735171261484,0.1796157059314954,2.3823379583044986,0.0,8,0.2,0.6,5.730926627002191,1.199092087897942,701,2.488087303564012,a2113d8d846647b50324ec18dcfc2e1e844ffc3a4fd2ec3fcf97fd3ee42b0059,73e6bfe0a8ee7c0960f93db8fb8d645b8b55fa96098898f86173cfadf85dc723,0.9509629101283881,5608,0,0,0.0,0.0,0.0,19628,780,3023,0.039739148155695944,0.1540146729162421,5.8885002627728955,0.826344462712767,0.0,1.0,0.16975748930099857,0.40228245363766046,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250005,1.0,8.0,1.2,1.0,350.0,1.2,0.3,261.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3180,0,0,0.0,0.0,11249,353,1518,0.03138056716152547,0.1349453284736421,bounded_bc_train171003,0.0,0.35,1.0,0.25,0.6959619407771256,0.9999999974151087,3.4355495958918594,0.0,3.4355495870113373,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-4.935584168159359,-0.7050834525941941,0.125,1513,0,0,0.0,0.0,4605,273,1008,0.05928338762214984,0.21889250814332248,2.358617506338052,0.0,8,0.2,0.6,5.782689234998543,1.136821822984669,701,2.176755487746207,c562a81a42eb0e8473f6325ef83902528bda8dc34c4b12cbf11cc1b8ba327937,2e9c42c8c53fde9cc05d580f51116de9ebcb52b87941e1c56f29f5609158c240,0.9991084165477889,5608,40,121,0.007132667617689016,0.021576319543509272,0.125,19628,717,2810,0.036529447727735885,0.14316282861218668,8.401992362118564,0.8857059331106609,0.0,1.0,0.2211126961483595,0.5035663338088445,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250006,0.875,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4095,40,121,0.009768009768009768,0.029548229548229547,15023,444,1802,0.029554682819676496,0.11994941090328164,bounded_bc_train171003,0.10930813124108417,0.35,1.0,0.25,0.6959619407771256,1.038578206557439,3.017690774806769,0.125,3.1341078728437424,0.3,9.0,25.0,24.0,0.15,0.0,9.0
0.0,0.0,-6.551354656437887,-0.9359078080625552,0.25,1444,0,0,0.0,0.0,4134,272,974,0.06579583938074504,0.235607160135462,2.4302934375561684,0.0,8,0.2,0.6,5.790710268978728,1.3576657932822496,701,2.1322121969959023,070ba0b8fe528a73bbf6fee144f9b700ff99120461be208d3cfe45feb1580d21,e3753370bc6c5a4385d14492c99d289cec7509f3225ada051af7029f4c2e3243,0.9917974322396577,5608,112,339,0.019971469329529243,0.06044935805991441,0.25,19628,571,2095,0.029091094355003056,0.10673527613613205,8.038042475044804,0.8470075050190877,0.0,0.875,0.1768901569186876,0.3281027104136947,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250007,0.75,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4164,112,339,0.026897214217098942,0.0814121037463977,15494,299,1121,0.019297792693946044,0.07235058732412547,bounded_bc_train171003,0.23056348074179744,0.35,1.0,0.25,0.6959619407771256,1.1411553236536434,3.136866918749095,0.625,3.5796523839235306,0.3,15.0,25.0,23.0,0.15,0.0,13.0
0.0,0.0,-4.349940499410067,-0.6214200713442953,0.125,1507,0,0,0.0,0.0,4360,231,885,0.05298165137614679,0.2029816513761468,2.3949375131898845,0.0,8,0.2,0.6,5.83659206298762,1.1119357712173121,701,3.0884897350251386,105af453826b5fe367cc6929a3367fbcba8a1cf5eed485bbb80261868738ec73,323a75b1911877943fc647dc65b14d06b441a5ba65608a76a181291dff62ce2a,0.9932239657631954,5608,81,189,0.014443651925820257,0.033701854493580596,0.125,19628,490,2008,0.024964336661911554,0.10230283268799674,8.170042291532852,0.9065354598311445,0.0,1.0,0.20256776034236804,0.47788873038516405,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250008,0.875,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4101,81,189,0.019751280175566936,0.046086320409656184,15268,259,1123,0.01696358396646581,0.07355252816347917,bounded_bc_train171003,0.2435805991440799,0.35,1.0,0.25,0.6959619407771256,1.0490330335378233,3.9459080134814224,0.875,4.139387853443623,0.3,7.0,25.0,24.0,0.15,0.0,9.0
0.0,0.0,-4.2212568047578,-0.6030366863939715,0.125,1678,0,0,0.0,0.0,5685,406,1415,0.07141600703605981,0.24890061565523308,2.3973845624658523,0.0,8,0.2,0.6,5.7929450680094305,1.1813253386704075,701,2.637328095422849,843ca8ac48b30424be66b00ef27dcf4efe8f18559588ab84b00f644963584f6c,76eb9781dc7b54671cae13b2da644a72b1dd46aed65a1cf1f9c5f212c1e7329e,0.9953637660485022,5608,59,101,0.010520684736091298,0.018009985734664766,0.125,19628,749,2839,0.03815977175463623,0.1446403097615651,6.76779515302581,0.8579248851168497,0.0,1.0,0.14265335235378032,0.32667617689015693,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250009,0.875,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3930,59,101,0.015012722646310433,0.025699745547073792,13943,343,1424,0.024600157785268594,0.10213010112601305,bounded_bc_train171003,0.11822396576319544,0.35,1.0,0.25,0.6959619407771256,1.066759121353572,3.5783859780112963,0.5,3.817275881767273,0.3,3.0,25.0,24.0,0.15,0.0,4.0
