action_component_clip_rate,agent_collision_rate,avg_true_objective,avg_true_objective_per_second,canonical_collision_rate,completed_obstacle_agent_exposure_count,completed_obstacle_agent_risk_count_clearance_lt_0_20,completed_obstacle_agent_risk_count_clearance_lt_0_35,completed_obstacle_agent_risk_rate_clearance_lt_0_20,completed_obstacle_agent_risk_rate_clearance_lt_0_35,completed_pair_exposure_count,completed_pair_risk_count_dist_lt_0_65,completed_pair_risk_count_dist_lt_1_0,completed_pair_risk_rate_dist_lt_0_65,completed_pair_risk_rate_dist_lt_1_0,coordinator_wall_ms_per_frame,deadlock_rate,environment_num_agents,environment_obstacle_density,environment_obstacle_size,episode_wall_seconds,final_goal_distance_mean,frames,goal_progress_mean,initial_physical_hash,initial_physical_state_sha256,moving_frame_ratio,obstacle_agent_frame_exposure_count,obstacle_agent_frame_risk_count_clearance_lt_0_20,obstacle_agent_frame_risk_count_clearance_lt_0_35,obstacle_agent_frame_risk_rate_clearance_lt_0_20,obstacle_agent_frame_risk_rate_clearance_lt_0_35,obstacle_collision_rate,pair_frame_exposure_count,pair_frame_risk_count_dist_lt_0_65,pair_frame_risk_count_dist_lt_1_0,pair_frame_risk_rate_dist_lt_0_65,pair_frame_risk_rate_dist_lt_1_0,path_length_mean,policy_wall_ms_per_frame,projected_action_component_clip_rate,radius_entry_rate,risk_rate_dist_lt_0_65,risk_rate_dist_lt_1_0,safety_projection,safety_projection_active_pairs_mean,safety_projection_candidate_pairs_mean,safety_projection_corrected_agent_rate,safety_projection_correction_l2_max,safety_projection_correction_l2_mean,safety_projection_intervention_rate,safety_projection_predicted_min_after_mean,safety_projection_predicted_min_before_mean,seed,success_rate,sync_stage_egress_agent_count,sync_stage_egress_radius_m,sync_stage_enabled,sync_stage_max_frames,sync_stage_radius_m,sync_stage_ready_radius_m,sync_stage_release_frame,sync_stage_released,teacher_takeover,teacher_takeover_active_disagreement_mean,teacher_takeover_agent_frame_rate,teacher_takeover_frame_rate,teacher_takeover_release_count,teacher_takeover_start_count,transit_obstacle_agent_exposure_count,transit_obstacle_agent_risk_count_clearance_lt_0_20,transit_obstacle_agent_risk_count_clearance_lt_0_35,transit_obstacle_agent_risk_rate_clearance_lt_0_20,transit_obstacle_agent_risk_rate_clearance_lt_0_35,transit_pair_exposure_count,transit_pair_risk_count_dist_lt_0_65,transit_pair_risk_count_dist_lt_1_0,transit_pair_risk_rate_dist_lt_0_65,transit_pair_risk_rate_dist_lt_1_0,variant,waypoint_active_agent_frame_rate,waypoint_clearance_buffer_m,waypoint_enabled,waypoint_grid_resolution_m,waypoint_inflated_obstacle_radius_m,waypoint_initial_detour_ratio,waypoint_initial_direct_distance_mean_m,waypoint_initial_intermediate_count_mean,waypoint_initial_path_length_mean_m,waypoint_reached_radius_m,waypoint_replan_count,waypoint_replan_interval_frames,waypoint_retarget_count,waypoint_room_margin_m,waypoint_search_failure_count,waypoint_switch_count
0.0,0.0,-1.232274713826918,-0.17603924483241684,0.0,1993,0,0,0.0,0.0,6856,452,1548,0.06592765460910152,0.22578763127187865,1.3675780828375257,0.0,8,0.1,0.4,5.867465050017927,1.1712199208920058,701,1.4469711226189255,db05d93528fee678b80e9b0ffd90d83b7a11c5e6886093a63670e2a785344a14,745cf2284b1226b0f66cd170828bedde56714b05f669d579139cf81dac27bca0,0.992867332382311,5608,0,0,0.0,0.0,0.0,19628,785,2979,0.039993886284899124,0.15177297737925413,5.134597744720599,0.9149965584695275,0.0,1.0,0.14122681883024252,0.29814550641940085,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253000,1.0,8.0,1.2,1.0,350.0,1.2,0.3,314.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3615,0,0,0.0,0.0,12772,333,1431,0.026072658941434387,0.11204196680238021,bounded_bc_train171003,0.0,0.35,1.0,0.25,0.5959619407771256,1.000000009565703,2.383179708870253,0.0,2.383179731667042,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-1.940716198688495,-0.27724517124121356,0.0,1591,0,0,0.0,0.0,5083,302,1101,0.05941373204800315,0.21660436749950818,1.3390302636242803,0.0,8,0.1,0.4,4.8231726119993255,1.1847193088768617,701,1.172631704896204,feffb6d7995267c0fdc4267ea79c7ebda67ac0ab14a6afd698f7ca9228b35518,4773ae64ce754b6f5185569de8d25598dc974168e070d14bb1cea52d39156aa4,0.9987517831669044,5608,0,0,0.0,0.0,0.0,19628,876,3259,0.04463012023639698,0.16603831261463217,7.920510266279355,0.7431013486381307,0.0,1.0,0.21968616262482168,0.4607703281027104,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253001,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4017,0,0,0.0,0.0,14545,574,2158,0.0394637332416638,0.14836713647301478,bounded_bc_train171003,0.0003566333808844508,0.35,1.0,0.25,0.5959619407771256,0.9999999886461007,2.076747373973906,0.0,2.076747350394726,0.3,2.0,25.0,24.0,0.15,0.0,2.0
0.0,0.0,-1.5593845241613735,-0.22276921773733907,0.0,2619,0,0,0.0,0.0,8946,386,1363,0.04314777554214174,0.15235859602056784,1.3695431382215306,0.0,8,0.1,0.4,4.934122820006451,1.2033836834359404,701,2.2443557175933213,fb60268f363c80bf522d33f531804016cfc616e202dc50dbc1a0679c8465bd16,47a68fc7578cb94f9ccd3966448037137914a4f0798bd1dafb4ddd12c9f65215,0.9342011412268189,5608,0,0,0.0,0.0,0.0,19628,832,3141,0.04238842469940901,0.16002649276543712,5.8553413993614845,0.8131744691799162,0.0,1.0,0.20684736091298145,0.3908701854493581,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253002,1.0,8.0,1.2,1.0,350.0,1.2,0.3,230.0,1.0,none,0.0,0.0,0.0,0.0,0.0,2989,0,0,0.0,0.0,10682,446,1778,0.0417524808088373,0.16644823066841416,bounded_bc_train171003,0.019793152639087017,0.35,1.0,0.25,0.5959619407771256,1.0082737707389189,3.334285100598129,0.125,3.361872211098671,0.3,0.0,25.0,24.0,0.15,0.0,1.0
0.0,0.25,-2.500890157074636,-0.3572700224392337,0.25,1721,0,0,0.0,0.0,5969,502,1598,0.0841011894789747,0.2677165354330709,1.372647436685095,0.0,8,0.1,0.4,6.8283623889728915,1.1805111812326579,701,2.032449563802127,c159d536c3eae29151885ebea49d066e7f30ab733360976afdea85577f8a7c81,d2a6121d5a763dba3482ee1e49be41935911f3fe9a9667e2c5dd5b8513d37f39,0.9987517831669044,5608,0,0,0.0,0.0,0.0,19628,942,3379,0.04799266354187895,0.17215202771550847,8.461131937633974,0.9199876933024476,0.0,1.0,0.2810271041369472,0.5905848787446505,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253003,0.75,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3887,0,0,0.0,0.0,13659,440,1781,0.03221319276667399,0.1303902189032872,bounded_bc_train171003,0.02282453637660485,0.35,1.0,0.25,0.5959619407771256,1.001525163570953,2.9794423748546333,0.125,2.983986511826515,0.3,0.0,25.0,24.0,0.15,0.0,1.0
0.0,0.25,-3.6150257992022556,-0.5164322570288936,0.25,2186,0,0,0.0,0.0,5894,366,1355,0.06209704784526637,0.22989480827960637,1.3457589156107947,0.0,8,0.1,0.4,5.005886180995731,1.3052550763347825,701,1.98744101773041,fce2818088a49dc02ff02a0fedbf853fc58375ab96e0339c20beec708497f970,eb0f3393cedf52dac83548998a7b2e16fedb79d165fccc08691a669f15ce9f75,0.9825249643366619,5608,0,0,0.0,0.0,0.0,19628,648,2657,0.033014061544732014,0.1353678418585694,8.418461156042643,0.8754875456044762,0.0,1.0,0.24679029957203993,0.6048502139800286,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253004,0.75,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3422,0,0,0.0,0.0,13734,282,1302,0.02053298383573613,0.09480122324159021,bounded_bc_train171003,0.02442938659058488,0.35,1.0,0.25,0.5959619407771256,1.0016114318048066,3.0838064139648753,0.125,3.088775757700205,0.3,8.0,25.0,23.0,0.15,0.0,10.0
0.0,0.0,-1.9978585770625443,-0.28540836815179205,0.0,1775,0,0,0.0,0.0,6152,465,1586,0.0755851755526658,0.25780234070221064,1.370029306624114,0.0,8,0.1,0.4,4.973288917011814,1.1944051138155432,701,2.475315309797164,37f68ef2a5ef4e5232b4586980db8d7c551fbff32e5abd253687cd9ce393b5e1,99f119a76597713551aba5e16759fd0a6f390e805beb6075f36ee0bf9d2aa7d7,0.9709343794579173,5608,0,0,0.0,0.0,0.0,19628,787,2989,0.040095781536580395,0.1522824536376605,5.432704225386474,0.8339798320818841,0.0,1.0,0.11840228245363767,0.24393723252496433,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253005,1.0,8.0,1.2,1.0,350.0,1.2,0.3,337.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3833,0,0,0.0,0.0,13476,322,1403,0.023894330661917484,0.10411101216978332,bounded_bc_train171003,0.08059914407988587,0.35,1.0,0.25,0.5959619407771256,1.0142426536570368,3.417574772855507,0.375,3.466250106692314,0.3,0.0,25.0,24.0,0.15,0.0,3.0
0.0,0.0,-1.3298328889078022,-0.1899761269868289,0.0,1725,0,0,0.0,0.0,5910,488,1547,0.08257191201353638,0.26175972927241964,1.3632876044966296,0.0,8,0.1,0.4,4.878012925008079,1.181773714203274,701,1.489856321286884,c473791c2d962addfd218f40e9efbaf942bb4efbbdd1d6f6f6fce7d844ed6e42,5149997ca97c3a96ee7d0c2ad8d9ae365599b8343cb955d31d67c32f5c489880,0.9923323823109843,5608,54,103,0.00962910128388017,0.018366619115549217,0.0,19628,818,2877,0.04167515793764011,0.14657631954350928,4.717866232507472,0.7485225858145557,0.0,1.0,0.14122681883024252,0.23395149786019973,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253006,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3883,54,103,0.01390677311357198,0.02652588204996137,13718,330,1330,0.02405598483743986,0.09695290858725762,bounded_bc_train171003,0.052781740370898715,0.35,1.0,0.25,0.5959619407771256,1.0141114430607763,2.390893928476544,0.125,2.424632892012596,0.3,2.0,25.0,24.0,0.15,0.0,2.0
0.0,0.0,-2.541928366099423,-0.36313262372848903,0.0,1713,0,0,0.0,0.0,5871,424,1504,0.07221938340998127,0.25617441662408447,1.3949577288918686,0.0,8,0.1,0.4,5.084635470004287,1.1878518412000136,701,2.300036842234115,74d778d2ea44716516feba3299465ba4f209f69397a313174299edbd89793713,8092f599b03d009046dc4c0d10f05a9ecb37c1f316d871623d781646ee44e5f5,0.9919757489300999,5608,28,108,0.004992867332382311,0.01925820256776034,0.0,19628,797,3061,0.040605257794986756,0.15595068269818627,7.372659855046225,0.9348345479111555,0.0,1.0,0.1754636233951498,0.463623395149786,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253007,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3895,28,108,0.007188703465982028,0.02772785622593068,13757,373,1557,0.027113469506433088,0.1131787453659955,bounded_bc_train171003,0.10306704707560628,0.35,1.0,0.25,0.5959619407771256,1.0122539181685517,3.2614504920267793,0.25,3.301416039466858,0.3,9.0,25.0,24.0,0.15,0.0,5.0
0.0,0.0,-2.095267677440795,-0.2993239539201135,0.0,1640,0,0,0.0,0.0,5407,334,1296,0.06177177732568892,0.2396892916589606,1.3670237650134907,0.0,8,0.1,0.4,4.983052844996564,1.1965451607674473,701,2.1120755642141265,f791ff2e7db63dcbcfaf134a76c54c8dc1f7a7e048fee9401d208b1cd21293d7,f0353d578328c1b6482868a40ed1365b051d693931486e6b4edb5ac475052fe0,0.9958987161198288,5608,0,34,0.0,0.006062767475035664,0.0,19628,811,3237,0.04131852455675566,0.16491746484613817,7.196890041690215,0.8744663893864271,0.0,1.0,0.19115549215406563,0.42368045649072755,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253008,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3968,0,34,0.0,0.008568548387096774,14221,477,1941,0.033541945010899375,0.13648829196259055,bounded_bc_train171003,0.0,0.35,1.0,0.25,0.5959619407771256,0.9999999895851022,3.0381408724703456,0.0,3.0381408408284187,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-2.5139456457814617,-0.3591350922544945,0.0,1461,0,0,0.0,0.0,4257,311,1103,0.07305614282358468,0.25910265445149167,1.3888258983204393,0.125,8,0.1,0.4,5.0275508799823,1.310456081236794,701,2.0679550087915466,56b5e0f865c502210751d7e764d8d09f9fdb3b0b89a24674f1356e9fdef2aea5,bf578e8652fb97b8efc371ea83430987180155e3c961404b8ce204f7e1f7323a,0.9962553495007133,5608,25,60,0.004457917261055635,0.010699001426533523,0.0,19628,680,2519,0.03464438557163236,0.12833706949256166,7.068976226122879,0.8567232073460056,0.0,0.875,0.2211126961483595,0.5677603423680456,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,253009,0.875,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4147,25,60,0.006028454304316373,0.014468290330359295,15371,369,1416,0.024006245527291654,0.09212152755188342,bounded_bc_train171003,0.09593437945791726,0.35,1.0,0.25,0.5959619407771256,1.0190970933409238,3.071580869939615,0.375,3.130239136517048,0.3,3.0,25.0,23.0,0.15,0.0,2.0
